digikey part num,order qty,qty used,ref des,value,footprint
1276-1817-1-ND,3,2,"C1, C2",8pF,0603
490-1532-1-ND,10,9,"C3, C4, C5, C6, C7, C11, C13, C16, C17",100nF,0603
490-3296-1-ND,4,3,"C9, C10, C18",2.2uF,0603
490-10744-1-ND,3,2,"C12, C15",2.2uF,0805
P12372-ND,1,1,C14,330uF,radial
1276-1784-1-ND,2,1,C8,4.7uF,0603
S1011EC-40-ND,1,1,J1,uart connector,thru hole-6
WM1731-ND ,1,1,J2,fan connector,thru hole-2
WM17118-ND,1,1,J3,usb a,smd-4
AE10398-ND,1,1,J4,rj45,thru hole-8
670-2294-ND,1,1,J5,jae 20 pin,thru hole-20
475-1410-1-ND,2,1,LED1,green,0805
475-1415-1-ND,2,1,LED2,red,0805
MMBT2222ALT1GOSCT-ND,2,1,Q1,mmbt2222a,sot23-3
311-10KGRCT-ND,10,6,"R1, R5, R8, R12, R14, R15",10k,0603
311-18.7KHRCT-ND,10,1,R11,18.7k,0603
311-1.0KGRCT-ND,10,2,"R6, R7",1k,0603
311-2.7KGRCT-ND,10,2,"R2, R13",2.7k,0603
311-22GRCT-ND,10,2,"R3, R4",22,0603
311-220GRCT-ND,10,2,"R9, R10",220,0603
P12961SCT-ND,1,1,SW1,spst,smd-4
497-11153-ND,1,1,U1,stm32f205,lqfp-64
296-20515-ND,1,1,U2,ptn78020w,thru hole-7
568-8681-1-ND,1,1,U3,tja1048,so14
296-36844-1-ND,2,1,U4,3.3v,sot23-5
887-1667-1-ND,2,1,Y1,8MHz,smd-2
603-1840-ND,1,1,H1,12V fan,40x10mm
345-1102-ND,4,4,"H2, H3, H4, H5",heatsink,28mm